"Income of Immigrant tax-filers, by immigrant admission category and tax year, for Canada and provinces, 2019 constant dollars 1 2 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 43-10-0026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Geographical region of Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography 4,Canada,,,,,,,,,,,Newfoundland and Labrador,,,,,,,,,,,Prince Edward Island,,,,,,,,,,,Nova Scotia,,,,,,,,,,,New Brunswick,,,,,,,,,,,Quebec,,,,,,,,,,,Ontario,,,,,,,,,,,Manitoba,,,,,,,,,,,Saskatchewan,,,,,,,,,,,Alberta,,,,,,,,,,,British Columbia,,,,,,,,,,,Territories,,,,,,,,,,
Sex 5,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,,"Total, sex 5",,,,,,,,,,
Pre-admission experience,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,,"Total, pre-admission experience",,,,,,,,,,
