Year,Province,"Income, consumption and savings",UOM, VALUE 
2010,Newfoundland and Labrador,Household disposable income,Dollars," $62,863 "
2011,Newfoundland and Labrador,Household disposable income,Dollars," $66,340 "
2012,Newfoundland and Labrador,Household disposable income,Dollars," $69,500 "
2013,Newfoundland and Labrador,Household disposable income,Dollars," $72,358 "
2014,Newfoundland and Labrador,Household disposable income,Dollars," $73,642 "
2015,Newfoundland and Labrador,Household disposable income,Dollars," $75,183 "
2016,Newfoundland and Labrador,Household disposable income,Dollars," $73,589 "
2017,Newfoundland and Labrador,Household disposable income,Dollars," $74,063 "
2018,Newfoundland and Labrador,Household disposable income,Dollars," $74,986 "
2019,Newfoundland and Labrador,Household disposable income,Dollars," $75,086 "
2020,Newfoundland and Labrador,Household disposable income,Dollars," $78,040 "
2010,Newfoundland and Labrador,Compensation of employees,Dollars,59732
2011,Newfoundland and Labrador,Compensation of employees,Dollars,59001
2012,Newfoundland and Labrador,Compensation of employees,Dollars,62436
2013,Newfoundland and Labrador,Compensation of employees,Dollars,66037
2014,Newfoundland and Labrador,Compensation of employees,Dollars,67821
2015,Newfoundland and Labrador,Compensation of employees,Dollars,68877
2016,Newfoundland and Labrador,Compensation of employees,Dollars,66611
2017,Newfoundland and Labrador,Compensation of employees,Dollars,65616
2018,Newfoundland and Labrador,Compensation of employees,Dollars,65634
2019,Newfoundland and Labrador,Compensation of employees,Dollars,65964
2020,Newfoundland and Labrador,Compensation of employees,Dollars,62470
2010,Newfoundland and Labrador,Net mixed income,Dollars,8404
2011,Newfoundland and Labrador,Net mixed income,Dollars,9347
2012,Newfoundland and Labrador,Net mixed income,Dollars,9642
2013,Newfoundland and Labrador,Net mixed income,Dollars,10103
2014,Newfoundland and Labrador,Net mixed income,Dollars,10301
2015,Newfoundland and Labrador,Net mixed income,Dollars,10573
2016,Newfoundland and Labrador,Net mixed income,Dollars,10860
2017,Newfoundland and Labrador,Net mixed income,Dollars,10651
2018,Newfoundland and Labrador,Net mixed income,Dollars,10577
2019,Newfoundland and Labrador,Net mixed income,Dollars,10578
2020,Newfoundland and Labrador,Net mixed income,Dollars,10445
2010,Newfoundland and Labrador,Property income received,Dollars,6795
2011,Newfoundland and Labrador,Property income received,Dollars,6711
2012,Newfoundland and Labrador,Property income received,Dollars,6918
2013,Newfoundland and Labrador,Property income received,Dollars,6794
2014,Newfoundland and Labrador,Property income received,Dollars,6885
2015,Newfoundland and Labrador,Property income received,Dollars,7392
2016,Newfoundland and Labrador,Property income received,Dollars,7103
2017,Newfoundland and Labrador,Property income received,Dollars,7335
2018,Newfoundland and Labrador,Property income received,Dollars,7090
2019,Newfoundland and Labrador,Property income received,Dollars,7252
2020,Newfoundland and Labrador,Property income received,Dollars,7001
2010,Newfoundland and Labrador,Less: property income paid,Dollars,2674
2011,Newfoundland and Labrador,Less: property income paid,Dollars,2641
2012,Newfoundland and Labrador,Less: property income paid,Dollars,2710
2013,Newfoundland and Labrador,Less: property income paid,Dollars,2773
2014,Newfoundland and Labrador,Less: property income paid,Dollars,2814
2015,Newfoundland and Labrador,Less: property income paid,Dollars,2780
2016,Newfoundland and Labrador,Less: property income paid,Dollars,2767
2017,Newfoundland and Labrador,Less: property income paid,Dollars,2877
2018,Newfoundland and Labrador,Less: property income paid,Dollars,3206
2019,Newfoundland and Labrador,Less: property income paid,Dollars,3526
2020,Newfoundland and Labrador,Less: property income paid,Dollars,2994
2010,Newfoundland and Labrador,Current transfers received,Dollars,22013
2011,Newfoundland and Labrador,Current transfers received,Dollars,21744
2012,Newfoundland and Labrador,Current transfers received,Dollars,22805
2013,Newfoundland and Labrador,Current transfers received,Dollars,23258
2014,Newfoundland and Labrador,Current transfers received,Dollars,23447
2015,Newfoundland and Labrador,Current transfers received,Dollars,25066
2016,Newfoundland and Labrador,Current transfers received,Dollars,27170
2017,Newfoundland and Labrador,Current transfers received,Dollars,28697
2018,Newfoundland and Labrador,Current transfers received,Dollars,29643
2019,Newfoundland and Labrador,Current transfers received,Dollars,30047
2020,Newfoundland and Labrador,Current transfers received,Dollars,35710
2010,Newfoundland and Labrador,Less: current transfers paid,Dollars,28166
2011,Newfoundland and Labrador,Less: current transfers paid,Dollars,27822
2012,Newfoundland and Labrador,Less: current transfers paid,Dollars,29591
2013,Newfoundland and Labrador,Less: current transfers paid,Dollars,31062
2014,Newfoundland and Labrador,Less: current transfers paid,Dollars,31999
2015,Newfoundland and Labrador,Less: current transfers paid,Dollars,33945
2016,Newfoundland and Labrador,Less: current transfers paid,Dollars,35388
