,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alberta,"$2,671,410.00","$2,753,920.00","$2,846,340.00","$2,943,140.00","$3,023,180.00","$3,028,180.00","$3,040,660.00","$3,091,230.00","$3,142,280.00","$3,205,830.00"
British Columbia,"$3,367,280.00","$3,425,310.00","$3,453,080.00","$3,511,350.00","$3,574,320.00","$3,635,490.00","$3,694,300.00","$3,761,540.00","$3,846,610.00","$3,945,090.00"
Manitoba,"$896,160.00","$910,880.00","$920,330.00","$931,450.00","$941,200.00","$952,520.00","$962,510.00","$973,920.00","$994,080.00","$1,003,140.00"
New Brunswick,"$591,500.00","$594,600.00","$593,730.00","$593,840.00","$597,020.00","$599,880.00","$604,060.00","$607,700.00","$614,610.00","$617,090.00"
Newfoundland and Labrador,"$413,970.00","$418,020.00","$419,820.00","$421,690.00","$424,780.00","$425,680.00","$425,090.00","$424,180.00","$424,450.00","$422,460.00"
Northwest Territories,"$29,900.00","$30,120.00","$30,080.00","$30,390.00","$30,730.00","$31,130.00","$31,160.00","$31,370.00","$31,630.00","$31,330.00"
Nova Scotia,"$719,370.00","$724,310.00","$722,880.00","$725,060.00","$727,730.00","$731,360.00","$736,710.00","$743,870.00","$751,860.00","$759,080.00"
Nunavut,"$18,670.00","$19,180.00","$19,580.00","$19,910.00","$20,320.00","$20,790.00","$21,130.00","$21,790.00","$22,260.00","$21,750.00"
Ontario,"$9,696,020.00","$9,817,430.00","$9,908,300.00","$10,035,570.00","$10,171,270.00","$10,292,850.00","$10,438,530.00","$10,606,490.00","$10,866,680.00","$11,074,250.00"
Prince Edward Island,"$110,010.00","$111,120.00","$111,020.00","$111,200.00","$112,280.00","$113,530.00","$115,640.00","$117,390.00","$119,930.00","$121,950.00"
Quebec,"$6,173,610.00","$6,250,650.00","$6,304,270.00","$6,358,580.00","$6,408,770.00","$6,434,030.00","$6,477,620.00","$6,552,030.00","$6,639,350.00","$6,697,500.00"
Saskatchewan,"$771,250.00","$788,140.00","$800,010.00","$812,130.00","$820,750.00","$825,870.00","$830,620.00","$835,830.00","$852,680.00","$855,030.00"
Yukon,"$25,090.00","$26,000.00","$26,270.00","$26,460.00","$26,790.00","$27,260.00","$28,050.00","$28,660.00","$29,390.00","$29,680.00"
